filename,text,duration,source
project_chunks_cheeks.wav,Makai,1.95,project_chunks
project_chunks_typesof_clothes.wav,aina za nguo,1.672,project_chunks
project_chunks_quiet.wav,Tumia,1.207,project_chunks
project_chunks_eye.wav,Ritho,1.95,project_chunks
project_chunks_i_love_you.wav,ningwendete,1.28,project_chunks
project_chunks_medicine.wav,dawa,1.393,project_chunks
project_chunks_stop_laughing.wav,tiga gutheka,2.048,project_chunks
project_chunks_elbow.wav,Kigokora,1.95,project_chunks
project_chunks_my_mouth.wav,Kanua gakwa,2.601,project_chunks
project_chunks_neck.wav,Gigo,1.95,project_chunks
project_chunks_goat.wav,mburi,1.95,project_chunks
project_chunks_mother.wav,maitu,1.408,project_chunks
project_chunks_writing.wav,Kwandika,1.393,project_chunks
project_chunks_that_girl_has_nice_cheeks.wav,Moiretu uria ena makai mega,4.923,project_chunks
project_chunks_come.wav,uka,1.408,project_chunks
project_chunks_hand.wav,Guoko,1.858,project_chunks
project_chunks_i_am_having_a_stomach_ache.wav,ndi na mutu wa nda,1.672,project_chunks
project_chunks_i_am_pregnant.wav,ndi na mimba,2.508,project_chunks
project_chunks_socks.wav,soksi,1.207,project_chunks
project_chunks_hello.wav,kohana atia,1.28,project_chunks
project_chunks_maize.wav,mbembe,1.95,project_chunks
project_chunks_reading.wav,Guthoma,1.858,project_chunks
project_chunks_nose.wav,Iniuru,1.393,project_chunks
project_chunks_doctor.wav,ndotitari,2.136,project_chunks
project_chunks_go_away.wav,thii ukiuge,1.408,project_chunks
project_chunks_feices.wav,mavi,1.115,project_chunks
project_chunks_i_am_sick.wav,ndi murwaru,1.95,project_chunks
project_chunks_i_have_a_headache.wav,ndi na mutu wa mutwe,1.95,project_chunks
project_chunks_i_am_thirsty.wav,ndi munyotu,1.92,project_chunks
project_chunks_enemy.wav,thu,0.64,project_chunks
project_chunks_heel.wav,Ikinya,1.393,project_chunks
project_chunks_coughing.wav,kohota,1.393,project_chunks
project_chunks_i_an_taking_medicine.wav,ndi gukua dawa,1.95,project_chunks
project_chunks_speaking.wav,Guaria,1.022,project_chunks
project_chunks_ankle.wav,Itede,0.743,project_chunks
project_chunks_i_have_gone_to_the_washroom.wav,naguka choo,2.229,project_chunks
project_chunks_shirt.wav,shati,1.765,project_chunks
project_chunks_leg.wav,Kuguru,0.743,project_chunks
project_chunks_shoulders.wav,Iande,2.415,project_chunks
project_chunks_thigh.wav,Kiero,1.858,project_chunks
project_chunks_waist.wav,Njohero,1.207,project_chunks
project_chunks_friend.wav,murata,1.408,project_chunks
project_chunks_pregnancy.wav,mimba,0.836,project_chunks
project_chunks_ankles.wav,Matede,1.95,project_chunks
project_chunks_head.wav,Mutwe,2.415,project_chunks
project_chunks_shorts.wav,suruali fupi,1.486,project_chunks
project_chunks_gumboot.wav,buti ya mpira,1.486,project_chunks
project_chunks_kikuyu.wav,gigikuyu,1.486,project_chunks
project_chunks_fingers.wav,Ciara,1.393,project_chunks
project_chunks_small_waist.wav,Njohero njeke,1.858,project_chunks
project_chunks_mouth.wav,Kanua,1.393,project_chunks
project_chunks_face.wav,uthiu,1.207,project_chunks
project_chunks_fever_or_temparature.wav,homa,1.858,project_chunks
project_chunks_knee.wav,Iru,1.393,project_chunks
project_chunks_i_am_going_to_the_hospital.wav,nindiguka kwa ndotitari,2.972,project_chunks
project_chunks_stomach.wav,Nda,1.858,project_chunks
project_chunks_finger.wav,Kiara,1.393,project_chunks
project_chunks_palm.wav,Ruhi,0.743,project_chunks
project_chunks_hospital.wav,hospitali,1.579,project_chunks
project_chunks_eyes.wav,Maitho,2.601,project_chunks
project_chunks_thank_you_so_much.wav,ni ngatho muno,1.408,project_chunks
project_chunks_urine.wav,mkojo,1.579,project_chunks
project_chunks_stomachache.wav,mutu wa nda,1.393,project_chunks
project_chunks_horse.wav,mbarathi,1.486,project_chunks
project_chunks_forehead.wav,Githi,2.508,project_chunks
project_chunks_ear.wav,Gutu,0.743,project_chunks
project_chunks_father.wav,fafa,0.768,project_chunks
project_chunks_physician.wav,ndotitari,1.858,project_chunks
project_chunks_thighs.wav,Shiero,1.3,project_chunks
project_chunks_smelling.wav,kunuka,2.136,project_chunks
project_chunks_food.wav,irio,2.688,project_chunks
project_chunks_mouse_or_mice.wav,mbia,1.115,project_chunks
project_chunks_blood.wav,thakame,1.115,project_chunks
project_chunks_needle.wav,sindano,1.858,project_chunks
project_chunks_I_will_slap_you.wav,Ningukuhura,1.95,project_chunks
project_chunks_my_face.wav,uthiu wakwa,4.272,project_chunks
project_chunks_trouser.wav,suruali,1.207,project_chunks
project_chunks_i_will_call_you.wav,ningukuhurira thimu,2.688,project_chunks
project_chunks_constipation.wav,kuhindwa kwenda choo,1.393,project_chunks
project_chunks_i_am_hungry.wav,ndi muhotu,1.28,project_chunks
project_chunks_vest.wav,vesti,1.486,project_chunks
project_chunks_sweater.wav,sweta,1.115,project_chunks
project_chunks_patient.wav,murwaru,1.115,project_chunks
project_chunks_how_are_you.wav,Uhoro waku,1.92,project_chunks
project_chunks_i_have_recovered.wav,nathira,2.229,project_chunks
project_chunks_agikuyu.wav,agikuyu,1.486,project_chunks
project_chunks_ears.wav,Matu,1.95,project_chunks
project_chunks_shivering_or_shaking.wav,kutetemeka,1.115,project_chunks
project_chunks_keep_quiet.wav,kira,0.768,project_chunks
project_chunks_tiredness.wav,kurimu,1.579,project_chunks
project_chunks_blouse.wav,blauzi,0.929,project_chunks
project_chunks_water.wav,maai,1.408,project_chunks
project_chunks_id.wav,kadi ya utambulisho,1.486,project_chunks
project_chunks_shoes.wav,viatu,1.207,project_chunks
project_chunks_chest.wav,Githuri,2.415,project_chunks
project_chunks_shut_up.wav,Kira,1.207,project_chunks
project_chunks_thank_you.wav,ni ngatho,1.408,project_chunks
project_chunks_beards.wav,Nderu,1.393,project_chunks
project_chunks_Give_me_water.wav,he mae,2.56,project_chunks
project_chunks_shoe.wav,kiatu,1.486,project_chunks
project_chunks_muscle_pull.wav,mwili kuuma,1.858,project_chunks
project_chunks_pain.wav,mutu,0.836,project_chunks
project_chunks_a_good_doctor.wav,ndotitari mwega,2.786,project_chunks
project_chunks_come_here.wav,uka haha,1.408,project_chunks
project_chunks_come_in.wav,ingira,1.408,project_chunks
project_chunks_hair.wav,Juere,1.3,project_chunks
project_chunks_come_into_the_house.wav,ingira mucii,1.408,project_chunks
project_chunks_home.wav,mucii,1.408,project_chunks
project_chunks_help_me.wav,ndeithia,1.92,project_chunks
project_chunks_legs.wav,Maguru,1.393,project_chunks
project_chunks_shoulder.wav,Kiande,1.858,project_chunks
